date,state,city,place_type,confirmed,deaths,order_for_place,is_last,estimated_population_2019,estimated_population,city_ibge_code,confirmed_per_100k_inhabitants,death_rate
2020-11-04,AC,,state,31218,696,233,False,881935,894470,12,3490.11146,0.0223
2020-11-04,AM,,state,163399,4588,233,False,4144597,4207714,13,3883.32002,0.0281
2020-11-04,AL,,state,91142,2254,239,False,3337357,3351543,27,2719.40417,0.0247
2020-11-04,DF,,state,214655,3719,242,False,3015268,3055149,53,7026.00757,0.0173
2020-11-04,CE,,state,276012,9385,234,False,9132078,9187103,23,3004.34207,0.0340
2020-11-04,ES,,state,158768,3884,244,False,4018650,4064052,32,3906.64293,0.0245
2020-11-04,BA,,state,355753,7711,242,False,14873064,14930634,29,2382.70525,0.0217
2020-11-04,MS,,state,83616,1629,236,True,2778986,2809394,50,2976.30023,0.0195
2020-11-04,MA,,state,186572,4091,230,False,7075181,7114598,21,2622.38288,0.0219
2020-11-04,GO,,state,258331,5825,238,False,7018354,7113540,52,3631.53929,0.0225
2020-11-04,MT,,state,144999,3883,227,False,3484466,3526220,51,4112.02364,0.0268
2020-11-04,PA,,state,255369,6773,232,False,8602865,8690745,15,2938.40171,0.0265
2020-11-04,PB,,state,133958,3130,238,False,4018127,4039277,25,3316.38558,0.0234
2020-11-04,PE,,state,163642,8667,238,False,9557071,9616621,26,1701.65799,0.0530
2020-11-04,PI,,state,115026,2450,230,False,3273227,3281480,22,3505.30858,0.0213
2020-11-04,MG,,state,362340,9069,240,False,21168791,21292666,31,1701.71269,0.0250
2020-11-04,RO,,state,72295,1464,221,False,1777225,1796460,11,4024.30335,0.0203
2020-11-04,RJ,,state,313089,20759,235,False,17264943,17366189,33,1802.86533,0.0663
2020-11-04,RN,,state,82420,2603,212,True,3506853,3534165,24,2332.09259,0.0316
2020-11-04,PR,,state,216266,5269,236,False,11433957,11516840,41,1877.82413,0.0244
2020-11-04,RR,,state,58304,695,226,True,605761,631181,14,9237.28693,0.0119
2020-11-04,SE,,state,84709,2228,225,False,2298696,2318822,28,3653.10490,0.0263
2020-11-04,SC,,state,266637,3163,238,False,7164788,7252502,42,3676.48296,0.0119
2020-11-04,RS,,state,253272,5903,236,False,11377239,11422973,43,2217.21613,0.0233
2020-11-04,TO,,state,76175,1108,228,True,1572866,1590248,17,4790.13336,0.0145
2020-11-04,SP,,state,1123299,39549,252,False,45919049,46289333,35,2426.69083,0.0352
