year,month,state,deaths
2010,1,AC,79
2010,1,AL,557
2010,1,AP,149
2010,1,BA,666
2010,1,CE,146
2010,1,DF,922
2010,1,ES,1789
2010,1,GO,1142
2010,1,MA,93
2010,1,MT,653
2010,1,MS,360
2010,1,MG,9047
2010,1,PA,61
2010,1,PB,505
2010,1,PR,5164
2010,1,PE,4235
2010,1,PI,34
2010,1,RJ,1732
2010,1,RN,156
2010,1,RS,1837
2010,1,RO,420
2010,1,RR,78
2010,1,SC,2150
2010,1,SP,21268
2010,1,SE,623
2010,1,TO,87
2010,2,AC,74
2010,2,AL,496
2010,2,AP,149
2010,2,BA,471
2010,2,CE,144
2010,2,DF,966
2010,2,ES,1514
2010,2,GO,1366
2010,2,MA,77
2010,2,MT,551
2010,2,MS,355
2010,2,MG,8282
2010,2,PA,60
2010,2,PB,439
2010,2,PR,5265
2010,2,PE,3953
2010,2,PI,24
2010,2,RJ,1636
2010,2,RN,163
2010,2,RS,2000
2010,2,RO,337
2010,2,RR,67
2010,2,SC,2258
2010,2,SP,20327
2010,2,SE,495
2010,2,TO,148
2010,3,AC,125
2010,3,AL,569
2010,3,AP,169
2010,3,AM,5
2010,3,BA,591
2010,3,CE,197
2010,3,DF,1096
2010,3,ES,1865
2010,3,GO,1204
2010,3,MA,118
2010,3,MT,651
2010,3,MS,377
2010,3,MG,9684
2010,3,PA,87
2010,3,PB,529
2010,3,PR,5981
2010,3,PE,4488
2010,3,PI,30
2010,3,RJ,1652
2010,3,RN,171
2010,3,RS,2026
2010,3,RO,326
2010,3,RR,84
2010,3,SC,2207
2010,3,SP,22875
2010,3,SE,615
2010,3,TO,141
2010,4,AC,144
2010,4,AL,485
2010,4,AP,177
2010,4,AM,2
2010,4,BA,1174
2010,4,CE,182
2010,4,DF,1087
2010,4,ES,1593
2010,4,GO,1468
2010,4,MA,100
2010,4,MT,640
2010,4,MS,373
2010,4,MG,9435
2010,4,PA,89
2010,4,PB,427
2010,4,PR,5397
2010,4,PE,4130
2010,4,PI,24
2010,4,RJ,1535
2010,4,RN,175
2010,4,RS,1973
2010,4,RO,453
2010,4,RR,80
2010,4,SC,2116
2010,4,SP,21458
2010,4,SE,594
2010,4,TO,133
2010,5,AC,131
2010,5,AL,587
2010,5,AP,157
2010,5,BA,347
2010,5,CE,161
2010,5,DF,1152
2010,5,ES,1681
2010,5,GO,1342
2010,5,MA,160
2010,5,MT,667
2010,5,MS,380
2010,5,MG,9439
2010,5,PA,86
2010,5,PB,425
2010,5,PR,5838
2010,5,PE,4303
2010,5,PI,21
2010,5,RJ,1661
2010,5,RN,189
2010,5,RS,2116
2010,5,RO,446
2010,5,RR,83
2010,5,SC,2193
2010,5,SP,21659
2010,5,SE,641
2010,5,TO,138
2010,6,AC,155
2010,6,AL,580
2010,6,AP,156
2010,6,AM,2
2010,6,BA,438
2010,6,CE,182
2010,6,DF,1063
2010,6,ES,1699
2010,6,GO,1142
2010,6,MA,111
2010,6,MT,638
2010,6,MS,403
2010,6,MG,10109
2010,6,PA,93
2010,6,PB,454
2010,6,PR,6365
2010,6,PE,4273
2010,6,PI,28
2010,6,RJ,1713
2010,6,RN,161
2010,6,RS,2243
2010,6,RO,328
2010,6,RR,79
2010,6,SC,2300
2010,6,SP,24185
2010,6,SE,625
2010,6,TO,186
2010,7,AC,168
2010,7,AL,646
2010,7,AP,182
2010,7,AM,2
2010,7,BA,765
2010,7,CE,210
2010,7,DF,1177
2010,7,ES,1704
2010,7,GO,1466
2010,7,MA,105
2010,7,MT,688
2010,7,MS,368
2010,7,MG,10165
2010,7,PA,76
2010,7,PB,412
2010,7,PR,5924
2010,7,PE,4653
2010,7,PI,26
2010,7,RJ,1789
2010,7,RN,160
2010,7,RS,2480
2010,7,RO,295
2010,7,RR,77
2010,7,SC,2413
2010,7,SP,23377
2010,7,SE,752
2010,7,TO,152
2010,8,AC,158
2010,8,AL,620
2010,8,AP,152
2010,8,AM,1
2010,8,BA,1330
2010,8,CE,183
2010,8,DF,1156
2010,8,ES,1836
2010,8,GO,1498
2010,8,MA,124
2010,8,MT,634
2010,8,MS,431
2010,8,MG,10266
2010,8,PA,99
2010,8,PB,484
2010,8,PR,6366
2010,8,PE,4765
2010,8,PI,31
2010,8,RJ,1704
2010,8,RN,170
2010,8,RS,2571
2010,8,RO,391
2010,8,RR,82
2010,8,SC,2530
2010,8,SP,23482
2010,8,SE,737
2010,8,TO,104
2010,9,AC,145
2010,9,AL,311
2010,9,AP,159
2010,9,BA,837
2010,9,CE,164
2010,9,DF,1170
2010,9,ES,1663
2010,9,GO,1245
2010,9,MA,145
2010,9,MT,681
2010,9,MS,408
2010,9,MG,10027
2010,9,PA,70
2010,9,PB,466
2010,9,PR,5676
2010,9,PE,4470
2010,9,PI,21
2010,9,RJ,1577
2010,9,RN,179
2010,9,RS,2388
2010,9,RO,484
2010,9,RR,101
2010,9,SC,2358
2010,9,SP,23220
2010,9,SE,659
2010,9,TO,182
2010,10,AC,120
2010,10,AL,584
2010,10,AP,145
2010,10,AM,3
2010,10,BA,673
2010,10,CE,200
2010,10,DF,1085
2010,10,ES,1659
2010,10,GO,1549
2010,10,MA,127
2010,10,MT,692
2010,10,MS,506
2010,10,MG,9185
2010,10,PA,101
2010,10,PB,418
2010,10,PR,5552
2010,10,PE,4547
2010,10,PI,36
2010,10,RJ,1579
2010,10,RN,159
2010,10,RS,2268
2010,10,RO,390
2010,10,RR,86
2010,10,SC,2249
2010,10,SP,20805
2010,10,SE,642
2010,10,TO,159
2010,11,AC,147
2010,11,AL,527
2010,11,AP,177
2010,11,AM,2
2010,11,BA,770
2010,11,CE,175
2010,11,DF,1044
2010,11,ES,1714
2010,11,GO,1412
2010,11,MA,115
2010,11,MT,699
2010,11,MS,407
2010,11,MG,9751
2010,11,PA,97
2010,11,PB,419
2010,11,PR,5684
2010,11,PE,4228
2010,11,PI,31
2010,11,RJ,1473
2010,11,RN,151
2010,11,RS,2098
2010,11,RO,359
2010,11,RR,69
2010,11,SC,2364
2010,11,SP,21989
2010,11,SE,664
2010,11,TO,150
2010,12,AC,204
2010,12,AL,624
2010,12,AP,179
2010,12,BA,1342
2010,12,CE,193
2010,12,DF,1197
2010,12,ES,1796
2010,12,GO,1569
2010,12,MA,109
2010,12,MT,684
2010,12,MS,505
2010,12,MG,10171
2010,12,PA,100
2010,12,PB,404
2010,12,PR,5581
2010,12,PE,4717
2010,12,PI,34
2010,12,RJ,1646
2010,12,RN,150
2010,12,RS,2090
2010,12,RO,349
