"Município";"Masculino";"Feminino";"Total"
"110001 Alta Floresta D'Oeste";11631;11097;22728
"110037 Alto Alegre dos Parecis";6764;6491;13255
"110040 Alto Paraíso";11154;10693;21847
"110034 Alvorada D'Oeste";7134;6972;14106
"110002 Ariquemes";54747;54776;109523
"110045 Buritis";20018;20338;40356
"110003 Cabixi";2650;2538;5188
"110060 Cacaulândia";3136;3133;6269
"110004 Cacoal";42122;43771;85893
"110070 Campo Novo de Rondônia";7466;6800;14266
"110080 Candeias do Jamari";13902;13486;27388
"110090 Castanheiras";1487;1500;2987
"110005 Cerejeiras";7985;8219;16204
"110092 Chupinguaia";5881;5591;11472
"110006 Colorado do Oeste";7718;7826;15544
"110007 Corumbiara";3821;3399;7220
"110008 Costa Marques";9915;8883;18798
"110094 Cujubim";13537;12646;26183
"110009 Espigão D'Oeste";16396;16299;32695
"110100 Governador Jorge Teixeira";3749;3696;7445
"110010 Guajará-Mirim";23564;22992;46556
"110110 Itapuã do Oeste";5567;5074;10641
"110011 Jaru";25294;26326;51620
"110012 Ji-Paraná";63909;66100;130009
"110013 Machadinho D'Oeste";21210;19657;40867
"110120 Ministro Andreazza";4758;4801;9559
"110130 Mirante da Serra";5394;5424;10818
"110140 Monte Negro";8227;7780;16007
"110014 Nova Brasilândia D'Oeste";10390;10099;20489
"110033 Nova Mamoré";16061;15331;31392
"110143 Nova União";3581;3314;6895
"110050 Novo Horizonte do Oeste";4265;4064;8329
"110015 Ouro Preto do Oeste";17185;18552;35737
"110145 Parecis";3321;2877;6198
"110018 Pimenta Bueno";18408;18473;36881
"110146 Pimenteiras do Oeste";1100;1048;2148
"110020 Porto Velho";278533;260821;539354
"110025 Presidente Médici";9225;9346;18571
"110147 Primavera de Rondônia";1410;1366;2776
"110026 Rio Crespo";1963;1841;3804
"110028 Rolim de Moura";27025;28382;55407
"110029 Santa Luzia D'Oeste";3135;3081;6216
"110148 São Felipe D'Oeste";2519;2547;5066
"110149 São Francisco do Guaporé";10387;10294;20681
"110032 São Miguel do Guaporé";11735;11342;23077
"110150 Seringueiras";5984;5867;11851
"110155 Teixeirópolis";2161;2072;4233
"110160 Theobroma";5336;5059;10395
"110170 Urupá";5702;5570;11272
"110175 Vale do Anari";5820;5557;11377
"110180 Vale do Paraíso";3308;3348;6656
"110030 Vilhena";50479;51732;102211
"120001 Acrelândia";7947;7543;15490
"120005 Assis Brasil";3721;3813;7534
"120010 Brasiléia";13635;13067;26702
"120013 Bujari";5447;4973;10420
"120017 Capixaba";6016;5992;12008
"120020 Cruzeiro do Sul";44125;44947;89072
"120025 Epitaciolândia";9388;9308;18696
"120030 Feijó";18209;16675;34884
"120032 Jordão";4373;4100;8473
"120033 Mâncio Lima";9816;9495;19311
"120034 Manoel Urbano";5082;4499;9581
"120035 Marechal Thaumaturgo";10133;9166;19299
"120038 Plácido de Castro";10418;9537;19955
"120080 Porto Acre";9649;9175;18824
"120039 Porto Walter";6414;5827;12241
"120040 Rio Branco";201499;211919;413418
"120042 Rodrigues Alves";9954;9397;19351
"120043 Santa Rosa do Purus";3414;3303;6717
"120050 Sena Madureira";24080;22431;46511
"120045 Senador Guiomard";11641;11595;23236
"120060 Tarauacá";22245;20906;43151
"120070 Xapuri";10114;9482;19596
"130002 Alvarães";8547;7673;16220
"130006 Amaturá";6087;5649;11736
"130008 Anamã";7420;6536;13956
"130010 Anori";11002;10475;21477
"130014 Apuí";11887;10472;22359
"130020 Atalaia do Norte";10658;9740;20398
"130030 Autazes";21157;19133;40290
"130040 Barcelos";15193;12445;27638
"130050 Barreirinha";16944;15539;32483
"130060 Benjamin Constant";22711;21224;43935
"130063 Beruri";10553;9540;20093
"130068 Boa Vista do Ramos";10573;9053;19626
"130070 Boca do Acre";17855;16780;34635
"130080 Borba";21927;19821;41748
"130083 Caapiranga";6972;6311;13283
"130090 Canutama";8771;7036;15807
"130100 Carauari";14623;13885;28508
"130110 Careiro";19859;18489;38348
"130115 Careiro da Várzea";16125;14721;30846
"130120 Coari";45391;40519;85910
"130130 Codajás";15089;14079;29168
"130140 Eirunepé";18331;17369;35700
"130150 Envira";10464;9929;20393
"130160 Fonte Boa";8932;8073;17005
"130165 Guajará";8712;8225;16937
"130170 Humaitá";29502;26642;56144
"130180 Ipixuna";15484;14952;30436
"130185 Iranduba";25134;23877;49011
"130190 Itacoatiara";52231;50470;102701
"130195 Itamarati";4123;3691;7814
"130200 Itapiranga";4818;4412;9230
"130210 Japurá";1201;1050;2251
"130220 Juruá";7754;7352;15106
"130230 Jutaí";7324;6562;13886
"130240 Lábrea";24456;22426;46882
"130250 Manacapuru";49871;48631;98502
"130255 Manaquiri";16726;16323;33049
"130260 Manaus";1079585;1139995;2219580
"130270 Manicoré";29666;26917;56583
"130280 Maraã";9990;8271;18261
"130290 Maués";34128;30912;65040
"130300 Nhamundá";11140;10303;21443
"130310 Nova Olinda do Norte";19653;18373;38026
"130320 Novo Airão";10399;9529;19928
"130330 Novo Aripuanã";14127;11919;26046
"130340 Parintins";59122;56241;115363
"130350 Pauini";10382;9140;19522
"130353 Presidente Figueiredo";19101;18092;37193
"130356 Rio Preto da Eva";17958;16148;34106
"130360 Santa Isabel do Rio Negro";13205;12660;25865
"130370 Santo Antônio do Içá";10895;10348;21243
"130380 São Gabriel da Cachoeira";23807;22496;46303
"130390 São Paulo de Olivença";20899;19174;40073
"130395 São Sebastião do Uatumã";7528;6824;14352
"130400 Silves";4863;4367;9230
"130406 Tabatinga";33754;33428;67182
"130410 Tapauá";9005;8010;17015
"130420 Tefé";30513;29034;59547
"130423 Tonantins";9885;9012;18897
"130426 Uarini";7333;6357;13690
